year,aces,player,fastserve,doubles
2004,76,Roger Federer,201,18
2004,126,Marat Safin,212,17
2004,59,Juan Carlos Ferrero,211,19
2005,99,Marat Safin,222,7
2005,83,Lleyton Hewitt,213,34
2005,107,Andy Roddick,230,15
2006,51,Roger Federer,217,15
2006,60,Marcos Baghdatis,213,22
2006,62,Nicolas Kiefer,222,33
2007,53,Roger Federer,200,8
2007,91,Fernando Gonzalez,200,12
2007,66,Tommy Haas,200,21
2008,67,Novak Djokovic,208,25
2008,100,Jo-Wilfried Tsonga,221,13
2008,91,Roger Federer,209,6
2009,42,Rafael Nadal,203,13
2009,85,Roger Federer,208,20
2009,52,Fernando Verdasco,216,20
2010,58,Roger Federer,211,13
2010,66,Andy Murray,216,13
2010,97,Jo-Wilfried Tsonga,217,15
2011,51,Novak Djokovic,208,14
2011,65,Andy Murray,216,19
2011,45,Roger Federer,208,4
2012,58,Novak Djokovic,204,15
2012,37,Rafael Nadal,200,12
2012,40,Andy Murray,218,22
2013,54,Novak Djokovic,209,13
2013,78,Andy Murray,215,7
2013,33,Roger Federer,208,10
2014,81,Stanislas Wawrinka,221,19
2014,33,Rafael Nadal,205,14
2014,53,Roger Federer,208,8
